 public | okp_groupcolumns_id_seq       | последовательность |               |                    | 
 public | okp_groups                    | таблица            |               |                    | 
 public | okp_groups_id_seq             | последовательность |               |                    | 
 public | okp_help                      | таблица            |               |                    | 
 public | okp_help_id_seq               | последовательность |               |                    | 
 public | okp_imlnk                     | таблица            |               |                    | 
 public | okp_imlnk_id_seq              | последовательность |               |                    | 
 public | okp_imset                     | таблица            |               |                    | 
 public | okp_imset_id_seq              | последовательность |               |                    | 
 public | okp_imsyn                     | таблица            |               |                    | 
 public | okp_imsyn_id_seq              | последовательность |               |                    | 
 public | okp_inv                       | таблица            |               |                    | 
 public | okp_inv_inv_id_seq            | последовательность |               |                    | 
 public | okp_inventorydata             | таблица            |               |                    | 
 public | okp_inventorydata_id_seq      | последовательность |               |                    | 
 public | okp_inventorywp               | таблица            |               |                    | 
 public | okp_inventorywp_id_seq        | последовательность |               |                    | 
 public | okp_invgrp                    | таблица            |               |                    | 
 public | okp_invgrp_grp_id_seq         | последовательность |               |                    | 
 public | okp_ipt                       | таблица            |               |                    | 
 public | okp_ipt_elem                  | таблица            |               |                    | 
 public | okp_ipt_elem_id_seq           | последовательность |               |                    | 
 public | okp_ipt_id_seq                | последовательность |               |                    | 
 public | okp_ipt_receive               | таблица            |               |                    | 
 public | okp_ipt_receive_id_seq        | последовательность |               |                    | 
 public | okp_iptdeps                   | таблица            |               |                    | 
 public | okp_iptdeps_id_seq            | последовательность |               |                    | 
 public | okp_iptnums                   | таблица            |               |                    | 
 public | okp_iptnums_id_seq            | последовательность |               |                    | 
 public | okp_iptnumsreceive            | таблица            |               |                    | 
 public | okp_iptnumsreceive_id_seq     | последовательность |               |                    | 
 public | okp_kim                       | таблица            |               |                    | 
 public | okp_kim_rwc_seq               | последовательность |               |                    | 
 public | okp_kto                       | таблица            |               |                    | 
 public | okp_kto_id_seq                | последовательность |               |                    | 
 public | okp_labour                    | таблица            |               |                    | 
 public | okp_labour_rwc_seq            | последовательность |               |                    | 
 public | okp_lim                       | таблица            |               |                    | 
 public | okp_lim_rwc_seq               | последовательность |               |                    | 
